"","day","hour","min","temp_log","temp_set","hum_log","hum_set"
"538",2,3,57,18.5,18.5,84,80
"539",2,3,58,18.2,18.5,82,80
"540",2,3,59,18.5,18.5,82,80
"541",2,4,0,18.2,18.5,83,80
"542",2,4,1,18.5,18.5,79,80
"543",2,4,2,18.3,18.5,84,80
"544",2,4,3,18.4,18.5,77,80
"545",2,4,4,18.4,18.5,84,80
"546",2,4,5,18.3,18.5,80,80
"547",2,4,6,18.5,18.5,85,80
"548",2,4,7,18.2,18.5,82,80
"549",2,4,8,18.5,18.5,83,80
"550",2,4,9,18.2,18.5,83,80
"551",2,4,10,18.5,18.5,80,80
"552",2,4,11,18.3,18.5,84,80
"553",2,4,12,18.4,18.5,77,80
"554",2,4,13,18.4,18.5,84,80
"555",2,4,14,18.3,18.5,79,80
"556",2,4,15,18.5,18.5,85,80
"557",2,4,16,18.2,18.5,81,80
"558",2,4,17,18.5,18.5,84,80
"559",2,4,18,18.2,18.5,83,80
"560",2,4,19,18.5,18.5,80,80
"561",2,4,20,18.4,18.5,83,80
"562",2,4,21,18.4,18.5,77,80
"563",2,4,22,18.4,18.5,84,80
"564",2,4,23,18.4,18.5,78,80
"565",2,4,24,18.5,18.5,85,80
"566",2,4,25,18.2,18.5,81,80
"567",2,4,26,18.5,18.5,84,80
"568",2,4,27,18.2,18.5,82,80
"569",2,4,28,18.5,18.5,81,80
"570",2,4,29,18.2,18.5,83,80
"571",2,4,30,18.4,18.5,78,80
"572",2,4,31,18.3,18.5,84,80
"573",2,4,32,18.3,18.5,77,80
"574",2,4,33,18.5,18.5,84,80
"575",2,4,34,18.3,18.5,80,80
"576",2,4,35,18.5,18.5,85,80
"577",2,4,36,18.2,18.5,82,80
"578",2,4,37,18.5,18.5,83,80
"579",2,4,38,18.3,18.5,83,80
"580",2,4,39,18.4,18.5,78,80
"581",2,4,40,18.4,18.5,84,80
"582",2,4,41,18.4,18.5,77,80
"583",2,4,42,18.4,18.5,85,80
"584",2,4,43,18.2,18.5,81,80
"585",2,4,44,18.5,18.5,84,80
"586",2,4,45,18.2,18.5,82,80
"587",2,4,46,18.5,18.5,81,80
"588",2,4,47,18.3,18.5,83,80
"589",2,4,48,18.4,18.5,78,80
"590",2,4,49,18.4,18.5,84,80
"591",2,4,50,18.4,18.5,77,80
"592",2,4,51,18.4,18.5,84,80
"593",2,4,52,18.2,18.5,79,80
"594",2,4,53,18.5,18.5,85,80
"595",2,4,54,18.2,18.5,82,80
"596",2,4,55,18.5,18.5,84,80
"597",2,4,56,18.2,18.5,83,80
